Observation_number,Date,AwayTeam,HomeTeam,HomeSpread,AwaySpread,absspread,AwayPercOfBets,HomePercOfBets,Bets,roadfav,,,,,,,,,,,,,,,,,,,,,,,
156,2024-11-17,Browns,Saints,1,-1,1,0.31,0.69,125829,1,,,,,,,,,,,,,,,,,,,,,,,
157,2024-11-17,Jaguars,Lions,-13.5,13.5,13.5,0.19,0.81,125601,0,,,,,,,,,,,,,,,,,,,,,,,
158,2024-11-17,Packers,Bears,6,-6,6,0.77,0.23,121436,1,,,,,,,,,,,,,,,,,,,,,,,
159,2024-11-17,Raiders,Dolphins,-8,8,8,0.25,0.75,86928,0,,,,,,,,,,,,,,,,,,,,,,,
160,2024-11-17,Rams,Patriots,4,-4,4,0.73,0.27,82718,1,,,,,,,,,,,,,,,,,,,,,,,
161,2024-11-17,Colts,Jets,-4,4,4,0.59,0.41,87266,0,,,,,,,,,,,,,,,,,,,,,,,
162,2024-11-17,Falcons,Broncos,-2,2,2,0.76,0.24,110152,0,,,,,,,,,,,,,,,,,,,,,,,
163,2024-11-17,Seahawks,49ers,-6,6,6,0.35,0.65,117453,0,,,,,,,,,,,,,,,,,,,,,,,
164,2024-11-17,Chiefs,Bills,-2.5,2.5,2.5,0.85,0.15,185232,0,,,,,,,,,,,,,,,,,,,,,,,
165,2024-11-17,Bengals,Chargers,-1,1,1,0.81,0.19,226530,0,,,,,,,,,,,,,,,,,,,,,,,
166,2024-11-18,Texans,Cowboys,7,-7,7,0.72,0.28,256499,1,,,,,,,,,,,,,,,,,,,,,,,
167,2024-11-21,Steelers,Browns,3.5,-3.5,3.5,0.67,0.33,260119,1,,,,,,,,,,,,,,,,,,,,,,,
168,2024-11-24,Chiefs,Panthers,10.5,-10.5,10.5,0.77,0.23,115186,1,,,,,,,,,,,,,,,,,,,,,,,
169,2024-11-24,Vikings,Bears,3,-3,3,0.52,0.48,135946,1,,,,,,,,,,,,,,,,,,,,,,,
170,2024-11-24,Cowboys,Commanders,-10.5,10.5,10.5,0.28,0.72,118321,0,,,,,,,,,,,,,,,,,,,,,,,
171,2024-11-24,Patriots,Dolphins,-7.5,7.5,7.5,0.39,0.61,98646,0,,,,,,,,,,,,,,,,,,,,,,,
172,2024-11-24,Titans,Texans,-8,8,8,0.27,0.73,107471,0,,,,,,,,,,,,,,,,,,,,,,,
173,2024-11-24,Lions,Colts,7,-7,7,0.78,0.22,195415,1,,,,,,,,,,,,,,,,,,,,,,,
174,2024-11-24,Buccaneers,Giants,6,-6,6,0.82,0.18,128636,1,,,,,,,,,,,,,,,,,,,,,,,
175,2024-11-24,Broncos,Raiders,5.5,-5.5,5.5,0.71,0.29,108794,1,,,,,,,,,,,,,,,,,,,,,,,
176,2024-11-24,49ers,Packers,-6.5,6.5,6.5,0.54,0.46,124703,0,,,,,,,,,,,,,,,,,,,,,,,
177,2024-11-24,Cardinals,Seahawks,1,-1,1,0.49,0.51,125955,1,,,,,,,,,,,,,,,,,,,,,,,
178,2024-11-24,Eagles,Rams,3,-3,3,0.74,0.26,219396,1,,,,,,,,,,,,,,,,,,,,,,,
179,2024-11-25,Ravens,Chargers,3,-3,3,0.6,0.4,280082,1,,,,,,,,,,,,,,,,,,,,,,,
180,2024-11-28,Bears,Lions,-10,10,10,0.26,0.74,298348,0,,,,,,,,,,,,,,,,,,,,,,,
181,2024-11-28,Giants,Cowboys,-4,4,4,0.25,0.75,262790,0,,,,,,,,,,,,,,,,,,,,,,,
182,2024-11-28,Dolphins,Packers,-3.5,3.5,3.5,0.43,0.57,277340,0,,,,,,,,,,,,,,,,,,,,,,,
183,2024-11-29,Raiders,Chiefs,-13.5,13.5,13.5,0.5,0.5,160720,0,,,,,,,,,,,,,,,,,,,,,,,
184,2024-12-01,Seahawks,Jets,-1.5,1.5,1.5,0.75,0.25,107739,0,,,,,,,,,,,,,,,,,,,,,,,
185,2024-12-01,Steelers,Bengals,-3,3,3,0.68,0.32,143615,0,,,,,,,,,,,,,,,,,,,,,,,
186,2024-12-01,Colts,Patriots,2.5,-2.5,2.5,0.66,0.34,97838,1,,,,,,,,,,,,,,,,,,,,,,,
187,2024-12-01,Cardinals,Vikings,-3.5,3.5,3.5,0.36,0.64,118851,0,,,,,,,,,,,,,,,,,,,,,,,
188,2024-12-01,Titans,Commanders,-6,6,6,0.41,0.59,109082,0,,,,,,,,,,,,,,,,,,,,,,,
189,2024-12-01,Texans,Jaguars,3,-3,3,0.81,0.19,128181,1,,,,,,,,,,,,,,,,,,,,,,,
190,2024-12-01,Chargers,Falcons,1,-1,1,0.6,0.4,128100,1,,,,,,,,,,,,,,,,,,,,,,,
191,2024-12-01,Buccaneers,Panthers,6.5,-6.5,6.5,0.8,0.2,147321,1,,,,,,,,,,,,,,,,,,,,,,,
